source_file,t_candidate_sec,vlc_jump_time,confirmed,notes
positive_audio\positive_audio.WAV,171.3,02:50.30,y,
positive_audio\positive_audio.WAV,173.7,02:52.70,y,
positive_audio\positive_audio.WAV,175.7,02:54.70,y,
positive_audio\positive_audio.WAV,178.2,02:57.20,y,
positive_audio\positive_audio.WAV,180.0,02:59.00,y,
positive_audio\positive_audio.WAV,182.3,03:01.30,y,
positive_audio\positive_audio.WAV,184.6,03:03.60,y,
positive_audio\positive_audio.WAV,187.1,03:06.10,y,
positive_audio\positive_audio.WAV,189.1,03:08.10,y,
positive_audio\positive_audio.WAV,191.2,03:10.20,y,
positive_audio\positive_audio.WAV,195.4,03:14.40,y,
positive_audio\positive_audio.WAV,197.0,03:16.00,y,
positive_audio\positive_audio.WAV,199.3,03:18.30,y,
positive_audio\positive_audio.WAV,201.3,03:20.30,y,
positive_audio\positive_audio.WAV,203.1,03:22.10,y,
positive_audio\positive_audio.WAV,209.2,03:28.20,y,
positive_audio\positive_audio.WAV,212.4,03:31.40,y,
positive_audio\positive_audio.WAV,213.9,03:32.90,y,
positive_audio\positive_audio.WAV,215.6,03:34.60,y,
positive_audio\positive_audio.WAV,217.3,03:36.30,y,
positive_audio\positive_audio.WAV,220.0,03:39.00,y,
positive_audio\positive_audio.WAV,221.9,03:40.90,y,
positive_audio\positive_audio.WAV,224.0,03:43.00,y,
positive_audio\positive_audio.WAV,226.0,03:45.00,y,
positive_audio\positive_audio.WAV,228.4,03:47.40,y,
positive_audio\positive_audio.WAV,230.9,03:49.90,y,
positive_audio\positive_audio.WAV,233.0,03:52.00,y,
positive_audio\positive_audio.WAV,235.0,03:54.00,y,
positive_audio\positive_audio.WAV,236.9,03:55.90,y,
positive_audio\positive_audio.WAV,239.0,03:58.00,y,
positive_audio\positive_audio.WAV,240.8,03:59.80,y,
positive_audio\positive_audio.WAV,242.4,04:01.40,y,
positive_audio\positive_audio.WAV,243.8,04:02.80,y,
positive_audio\positive_audio.WAV,245.1,04:04.10,y,
positive_audio\positive_audio.WAV,247.0,04:06.00,y,
positive_audio\positive_audio.WAV,248.5,04:07.50,y,
positive_audio\positive_audio.WAV,249.9,04:08.90,y,
positive_audio\positive_audio.WAV,251.7,04:10.70,y,
positive_audio\positive_audio.WAV,253.4,04:12.40,y,
positive_audio\positive_audio.WAV,254.8,04:13.80,y,
positive_audio\positive_audio.WAV,256.5,04:15.50,y,
positive_audio\positive_audio.WAV,257.9,04:16.90,y,
positive_audio\positive_audio.WAV,259.1,04:18.10,y,
positive_audio\positive_audio.WAV,260.7,04:19.70,y,
positive_audio\positive_audio.WAV,267.1,04:26.10,y,
positive_audio\positive_audio.WAV,268.7,04:27.70,y,
positive_audio\positive_audio.WAV,270.9,04:29.90,y,
positive_audio\positive_audio.WAV,272.2,04:31.20,y,
positive_audio\positive_audio.WAV,273.7,04:32.70,y,
positive_audio\positive_audio.WAV,275.5,04:34.50,y,
positive_audio\positive_audio.WAV,276.9,04:35.90,y,
positive_audio\positive_audio.WAV,280.2,04:39.20,y,
positive_audio\positive_audio.WAV,281.8,04:40.80,y,
positive_audio\positive_audio.WAV,283.8,04:42.80,y,
positive_audio\positive_audio.WAV,285.4,04:44.40,y,
positive_audio\positive_audio.WAV,287.3,04:46.30,y,
positive_audio\positive_audio.WAV,296.1,04:55.10,y,
positive_audio\positive_audio.WAV,299.8,04:58.80,y,
positive_audio\positive_audio.WAV,307.5,05:06.50,y,
positive_audio\positive_audio.WAV,310.6,05:09.60,y,
positive_audio\positive_audio.WAV,312.4,05:11.40,y,
positive_audio\positive_audio.WAV,313.9,05:12.90,y,
positive_audio\positive_audio.WAV,315.5,05:14.50,y,
positive_audio\positive_audio.WAV,327.9,05:26.90,y,
positive_audio\positive_audio.WAV,329.4,05:28.40,y,
positive_audio\positive_audio.WAV,330.7,05:29.70,y,
positive_audio\positive_audio.WAV,336.2,05:35.20,y,
positive_audio\positive_audio.WAV,339.3,05:38.30,y,
positive_audio\positive_audio.WAV,355.8,05:54.80,y,
positive_audio\positive_audio.WAV,370.6,06:09.60,y,
positive_audio\positive_audio.WAV,372.3,06:11.30,y,
positive_audio\positive_audio.WAV,374.1,06:13.10,y,
positive_audio\positive_audio.WAV,375.9,06:14.90,y,
positive_audio\positive_audio.WAV,378.2,06:17.20,y,
positive_audio\positive_audio.WAV,380.0,06:19.00,y,
positive_audio\positive_audio.WAV,381.9,06:20.90,y,
positive_audio\positive_audio.WAV,383.6,06:22.60,y,
positive_audio\positive_audio.WAV,385.1,06:24.10,y,
positive_audio\positive_audio.WAV,386.8,06:25.80,y,
positive_audio\positive_audio.WAV,388.5,06:27.50,y,
positive_audio\positive_audio.WAV,390.2,06:29.20,y,
positive_audio\positive_audio.WAV,391.6,06:30.60,y,
positive_audio\positive_audio.WAV,393.5,06:32.50,y,
positive_audio\positive_audio.WAV,395.1,06:34.10,y,
positive_audio\positive_audio.WAV,396.4,06:35.40,y,
positive_audio\positive_audio.WAV,397.9,06:36.90,y,
positive_audio\positive_audio.WAV,399.7,06:38.70,y,
positive_audio\positive_audio.WAV,401.6,06:40.60,y,
positive_audio\positive_audio.WAV,403.4,06:42.40,y,
positive_audio\positive_audio.WAV,405.8,06:44.80,y,
positive_audio\positive_audio.WAV,407.8,06:46.80,y,
positive_audio\positive_audio.WAV,409.7,06:48.70,y,
positive_audio\positive_audio.WAV,411.8,06:50.80,y,
positive_audio\positive_audio.WAV,413.4,06:52.40,y,
positive_audio\positive_audio.WAV,415.1,06:54.10,y,
positive_audio\positive_audio.WAV,416.9,06:55.90,y,
positive_audio\positive_audio.WAV,418.9,06:57.90,y,
positive_audio\positive_audio.WAV,420.5,06:59.50,y,
positive_audio\positive_audio.WAV,422.2,07:01.20,y,
positive_audio\positive_audio.WAV,423.6,07:02.60,y,
positive_audio\positive_audio.WAV,425.2,07:04.20,y,
positive_audio\positive_audio.WAV,427.4,07:06.40,y,
positive_audio\positive_audio.WAV,430.2,07:09.20,y,
positive_audio\positive_audio.WAV,431.8,07:10.80,y,
positive_audio\positive_audio.WAV,433.9,07:12.90,y,
positive_audio\positive_audio.WAV,435.6,07:14.60,y,
positive_audio\positive_audio.WAV,437.3,07:16.30,y,
positive_audio\positive_audio.WAV,439.2,07:18.20,y,
positive_audio\positive_audio.WAV,441.0,07:20.00,y,
positive_audio\positive_audio.WAV,442.6,07:21.60,y,
positive_audio\positive_audio.WAV,444.6,07:23.60,y,
positive_audio\positive_audio.WAV,446.1,07:25.10,y,
positive_audio\positive_audio.WAV,447.9,07:26.90,y,
positive_audio\positive_audio.WAV,449.6,07:28.60,y,
positive_audio\positive_audio.WAV,451.9,07:30.90,y,
positive_audio\positive_audio.WAV,453.6,07:32.60,y,
positive_audio\positive_audio.WAV,455.0,07:34.00,y,
positive_audio\positive_audio.WAV,456.9,07:35.90,y,
positive_audio\positive_audio.WAV,458.2,07:37.20,y,
positive_audio\positive_audio.WAV,460.0,07:39.00,y,
positive_audio\positive_audio.WAV,463.1,07:42.10,y,
positive_audio\positive_audio.WAV,464.3,07:43.30,y,
positive_audio\positive_audio.WAV,465.8,07:44.80,y,
positive_audio\positive_audio.WAV,467.2,07:46.20,y,
positive_audio\positive_audio.WAV,483.6,08:02.60,y,
positive_audio\positive_audio.WAV,484.8,08:03.80,y,
positive_audio\positive_audio.WAV,514.1,08:33.10,y,
positive_audio\positive_audio.WAV,515.5,08:34.50,y,
positive_audio\positive_audio.WAV,516.5,08:35.50,y,
positive_audio\positive_audio.WAV,521.7,08:40.70,y,
positive_audio\positive_audio.WAV,547.3,09:06.30,y,
positive_audio\positive_audio.WAV,553.2,09:12.20,y,
positive_audio\positive_audio.WAV,559.4,09:18.40,y,
positive_audio\positive_audio.WAV,561.2,09:20.20,y,
positive_audio\positive_audio.WAV,562.8,09:21.80,y,
positive_audio\positive_audio.WAV,565.2,09:24.20,y,
positive_audio\positive_audio.WAV,566.8,09:25.80,y,
positive_audio\positive_audio.WAV,568.4,09:27.40,y,
positive_audio\positive_audio.WAV,573.2,09:32.20,y,
positive_audio\positive_audio.WAV,576.3,09:35.30,y,
positive_audio\positive_audio.WAV,579.6,09:38.60,y,
positive_audio\positive_audio.WAV,581.1,09:40.10,y,
positive_audio\positive_audio.WAV,582.3,09:41.30,y,
positive_audio\positive_audio.WAV,585.9,09:44.90,y,
positive_audio\positive_audio.WAV,587.2,09:46.20,y,
positive_audio\positive_audio.WAV,588.8,09:47.80,y,
positive_audio\positive_audio.WAV,590.2,09:49.20,y,
positive_audio\positive_audio.WAV,592.9,09:51.90,y,
positive_audio\positive_audio.WAV,595.9,09:54.90,y,
positive_audio\positive_audio.WAV,600.0,09:59.00,y,
positive_audio\positive_audio.WAV,603.2,10:02.20,y,
positive_audio\positive_audio.WAV,604.7,10:03.70,y,
positive_audio\positive_audio.WAV,607.1,10:06.10,y,
positive_audio\positive_audio.WAV,608.4,10:07.40,y,
positive_negative_audio\positive_negative_audio.WAV,1.6,00:00.60,y,
positive_negative_audio\positive_negative_audio.WAV,4.7,00:03.70,y,
positive_negative_audio\positive_negative_audio.WAV,8.6,00:07.60,y,
positive_negative_audio\positive_negative_audio.WAV,12.4,00:11.40,y,
positive_negative_audio\positive_negative_audio.WAV,15.8,00:14.80,y,
positive_negative_audio\positive_negative_audio.WAV,19.1,00:18.10,y,
positive_negative_audio\positive_negative_audio.WAV,22.0,00:21.00,y,
positive_negative_audio\positive_negative_audio.WAV,25.6,00:24.60,y,
positive_negative_audio\positive_negative_audio.WAV,30.1,00:29.10,y,
positive_negative_audio\positive_negative_audio.WAV,33.9,00:32.90,y,
positive_negative_audio\positive_negative_audio.WAV,38.7,00:37.70,y,
positive_negative_audio\positive_negative_audio.WAV,43.3,00:42.30,y,
positive_negative_audio\positive_negative_audio.WAV,48.1,00:47.10,y,
positive_negative_audio\positive_negative_audio.WAV,55.1,00:54.10,y,
positive_negative_audio\positive_negative_audio.WAV,61.6,01:00.60,y,
positive_negative_audio\positive_negative_audio.WAV,76.4,01:15.40,y,
positive_negative_audio\positive_negative_audio.WAV,80.4,01:19.40,y,
positive_negative_audio\positive_negative_audio.WAV,85.6,01:24.60,y,
positive_negative_audio\positive_negative_audio.WAV,90.0,01:29.00,y,
positive_negative_audio\positive_negative_audio.WAV,95.0,01:34.00,y,
positive_negative_audio\positive_negative_audio.WAV,99.2,01:38.20,y,
positive_negative_audio\positive_negative_audio.WAV,104.0,01:43.00,y,
positive_negative_audio\positive_negative_audio.WAV,108.7,01:47.70,y,
positive_negative_audio\positive_negative_audio.WAV,114.2,01:53.20,y,
positive_negative_audio\positive_negative_audio.WAV,120.9,01:59.90,y,
positive_negative_audio\positive_negative_audio.WAV,128.4,02:07.40,y,
positive_negative_audio\positive_negative_audio.WAV,134.9,02:13.90,y,
positive_negative_audio\positive_negative_audio.WAV,140.0,02:19.00,y,
positive_negative_audio\positive_negative_audio.WAV,146.7,02:25.70,y,
positive_negative_audio\positive_negative_audio.WAV,151.8,02:30.80,y,
positive_negative_audio\positive_negative_audio.WAV,160.6,02:39.60,y,
positive_negative_audio\positive_negative_audio.WAV,165.7,02:44.70,y,
positive_negative_audio\positive_negative_audio.WAV,172.2,02:51.20,y,
positive_negative_audio\positive_negative_audio.WAV,178.1,02:57.10,y,
positive_negative_audio\positive_negative_audio.WAV,183.8,03:02.80,y,
positive_negative_audio\positive_negative_audio.WAV,189.6,03:08.60,y,
positive_negative_audio\positive_negative_audio.WAV,200.7,03:19.70,y,
positive_negative_audio\positive_negative_audio.WAV,205.4,03:24.40,y,
positive_negative_audio\positive_negative_audio.WAV,212.4,03:31.40,y,
positive_negative_audio\positive_negative_audio.WAV,218.1,03:37.10,y,
positive_negative_audio\positive_negative_audio.WAV,222.6,03:41.60,y,
positive_negative_audio\positive_negative_audio.WAV,226.1,03:45.10,y,
positive_negative_audio\positive_negative_audio.WAV,230.5,03:49.50,y,
positive_negative_audio\positive_negative_audio.WAV,233.3,03:52.30,y,
positive_negative_audio\positive_negative_audio.WAV,236.6,03:55.60,y,
positive_negative_audio\positive_negative_audio.WAV,239.8,03:58.80,y,
positive_negative_audio\positive_negative_audio.WAV,243.8,04:02.80,y,
positive_negative_audio\positive_negative_audio.WAV,246.4,04:05.40,y,
positive_negative_audio\positive_negative_audio.WAV,253.4,04:12.40,y,
positive_negative_audio\positive_negative_audio.WAV,270.5,04:29.50,y,
positive_negative_audio\positive_negative_audio.WAV,298.3,04:57.30,y,
positive_negative_audio\positive_negative_audio.WAV,302.3,05:01.30,y,
positive_negative_audio\positive_negative_audio.WAV,311.5,05:10.50,y,
positive_negative_audio\positive_negative_audio.WAV,316.1,05:15.10,y,
positive_negative_audio\positive_negative_audio.WAV,320.4,05:19.40,y,
positive_negative_audio\positive_negative_audio.WAV,325.4,05:24.40,y,
positive_negative_audio\positive_negative_audio.WAV,330.9,05:29.90,y,
positive_negative_audio\positive_negative_audio.WAV,337.0,05:36.00,y,
positive_negative_audio\positive_negative_audio.WAV,342.6,05:41.60,y,
positive_negative_audio\positive_negative_audio.WAV,349.9,05:48.90,y,
positive_negative_audio\positive_negative_audio.WAV,354.4,05:53.40,y,
positive_negative_audio\positive_negative_audio.WAV,359.1,05:58.10,y,
positive_negative_audio\positive_negative_audio.WAV,364.0,06:03.00,y,
positive_negative_audio\positive_negative_audio.WAV,369.4,06:08.40,y,
positive_negative_audio\positive_negative_audio.WAV,375.1,06:14.10,y,
positive_negative_audio\positive_negative_audio.WAV,378.2,06:17.20,y,
positive_negative_audio\positive_negative_audio.WAV,382.2,06:21.20,y,
positive_negative_audio\positive_negative_audio.WAV,386.0,06:25.00,y,
positive_negative_audio\positive_negative_audio.WAV,390.1,06:29.10,y,
positive_negative_audio\positive_negative_audio.WAV,395.8,06:34.80,y,
positive_negative_audio\positive_negative_audio.WAV,403.1,06:42.10,y,
positive_negative_audio\positive_negative_audio.WAV,406.5,06:45.50,y,
positive_negative_audio\positive_negative_audio.WAV,411.7,06:50.70,y,
positive_negative_audio\positive_negative_audio.WAV,416.5,06:55.50,y,
positive_negative_audio\positive_negative_audio.WAV,420.7,06:59.70,y,
positive_negative_audio\positive_negative_audio.WAV,428.6,07:07.60,y,
positive_negative_audio\positive_negative_audio.WAV,436.0,07:15.00,y,
positive_negative_audio\positive_negative_audio.WAV,441.9,07:20.90,y,
positive_negative_audio\positive_negative_audio.WAV,447.0,07:26.00,y,
positive_negative_audio\positive_negative_audio.WAV,453.4,07:32.40,y,
positive_negative_audio\positive_negative_audio.WAV,458.2,07:37.20,y,
positive_negative_audio\positive_negative_audio.WAV,464.9,07:43.90,y,
positive_negative_audio\positive_negative_audio.WAV,471.3,07:50.30,y,
positive_negative_audio\positive_negative_audio.WAV,477.4,07:56.40,y,
positive_negative_audio\positive_negative_audio.WAV,486.4,08:05.40,y,
positive_negative_audio\positive_negative_audio.WAV,493.5,08:12.50,y,
positive_negative_audio\positive_negative_audio.WAV,499.8,08:18.80,y,
positive_negative_audio\positive_negative_audio.WAV,506.1,08:25.10,y,
positive_negative_audio\positive_negative_audio.WAV,518.8,08:37.80,y,
positive_negative_audio\positive_negative_audio.WAV,523.3,08:42.30,y,
positive_negative_audio\positive_negative_audio.WAV,527.7,08:46.70,y,
positive_negative_audio\positive_negative_audio.WAV,533.2,08:52.20,y,
positive_negative_audio\positive_negative_audio.WAV,538.5,08:57.50,y,
positive_negative_audio\positive_negative_audio.WAV,543.8,09:02.80,y,
positive_negative_audio\positive_negative_audio.WAV,551.0,09:10.00,y,
positive_negative_audio\positive_negative_audio.WAV,553.5,09:12.50,y,
positive_negative_audio\positive_negative_audio.WAV,556.3,09:15.30,y,
positive_negative_audio\positive_negative_audio.WAV,560.3,09:19.30,y,
positive_negative_audio\positive_negative_audio.WAV,574.0,09:33.00,y,
positive_negative_audio\positive_negative_audio.WAV,578.3,09:37.30,y,
positive_negative_audio\positive_negative_audio.WAV,582.4,09:41.40,y,
positive_negative_audio\positive_negative_audio.WAV,585.6,09:44.60,y,
positive_negative_audio\positive_negative_audio.WAV,591.4,09:50.40,y,
positive_negative_audio\positive_negative_audio.WAV,596.0,09:55.00,y,
positive_negative_audio\positive_negative_audio.WAV,601.4,10:00.40,y,
positive_negative_audio\positive_negative_audio.WAV,606.1,10:05.10,y,
positive_negative_audio\positive_negative_audio.WAV,610.3,10:09.30,y,
positive_negative_audio\positive_negative_audio.WAV,615.6,10:14.60,y,
positive_negative_audio\positive_negative_audio.WAV,619.9,10:18.90,y,
positive_negative_audio\positive_negative_audio.WAV,624.2,10:23.20,y,
positive_negative_audio\positive_negative_audio.WAV,628.5,10:27.50,y,
positive_negative_audio\positive_negative_audio.WAV,634.6,10:33.60,y,
positive_negative_audio\positive_negative_audio.WAV,639.3,10:38.30,y,
positive_negative_audio\positive_negative_audio.WAV,644.6,10:43.60,y,
positive_negative_audio\positive_negative_audio.WAV,649.3,10:48.30,y,
positive_negative_audio\positive_negative_audio.WAV,653.7,10:52.70,y,
positive_negative_audio\positive_negative_audio.WAV,657.9,10:56.90,y,
positive_negative_audio\positive_negative_audio.WAV,662.2,11:01.20,y,
positive_negative_audio\positive_negative_audio.WAV,666.7,11:05.70,y,
positive_negative_audio\positive_negative_audio.WAV,672.0,11:11.00,y,
positive_negative_audio\positive_negative_audio.WAV,678.0,11:17.00,y,
positive_negative_audio\positive_negative_audio.WAV,681.3,11:20.30,y,
positive_negative_audio\positive_negative_audio.WAV,685.0,11:24.00,y,
positive_negative_audio\positive_negative_audio.WAV,687.7,11:26.70,y,
positive_negative_audio\positive_negative_audio.WAV,691.0,11:30.00,y,
positive_negative_audio\positive_negative_audio.WAV,695.6,11:34.60,y,
positive_negative_audio\positive_negative_audio.WAV,698.8,11:37.80,y,
positive_negative_audio\positive_negative_audio.WAV,703.1,11:42.10,y,
positive_negative_audio\positive_negative_audio.WAV,707.4,11:46.40,y,
positive_negative_audio\positive_negative_audio.WAV,710.1,11:49.10,y,
positive_negative_audio\positive_negative_audio.WAV,714.6,11:53.60,y,
positive_negative_audio\positive_negative_audio.WAV,718.9,11:57.90,y,
positive_negative_audio\positive_negative_audio.WAV,723.7,12:02.70,y,
positive_negative_audio\positive_negative_audio.WAV,730.0,12:09.00,y,
positive_negative_audio\positive_negative_audio.WAV,732.0,12:11.00,y,
positive_negative_audio\positive_negative_audio.WAV,735.6,12:14.60,y,
positive_negative_audio\positive_negative_audio.WAV,740.2,12:19.20,y,
positive_negative_audio\positive_negative_audio.WAV,743.0,12:22.00,y,
positive_negative_audio\positive_negative_audio.WAV,746.9,12:25.90,y,
positive_negative_audio\positive_negative_audio.WAV,750.4,12:29.40,y,
positive_negative_audio\positive_negative_audio.WAV,754.4,12:33.40,y,
positive_negative_audio\positive_negative_audio.WAV,757.9,12:36.90,y,
positive_negative_audio\positive_negative_audio.WAV,762.0,12:41.00,y,
positive_negative_audio\positive_negative_audio.WAV,764.9,12:43.90,y,
positive_negative_audio\positive_negative_audio.WAV,768.8,12:47.80,y,
positive_negative_audio\positive_negative_audio.WAV,771.0,12:50.00,y,
positive_negative_audio\positive_negative_audio.WAV,773.8,12:52.80,y,
positive_negative_audio\positive_negative_audio.WAV,777.0,12:56.00,y,
positive_negative_audio\positive_negative_audio.WAV,781.5,13:00.50,y,
positive_negative_audio\positive_negative_audio.WAV,785.5,13:04.50,y,
positive_negative_audio\positive_negative_audio.WAV,788.9,13:07.90,y,
positive_negative_audio\positive_negative_audio.WAV,792.0,13:11.00,y,
positive_negative_audio\positive_negative_audio.WAV,795.4,13:14.40,y,
positive_negative_audio\positive_negative_audio.WAV,798.5,13:17.50,y,
positive_negative_audio\positive_negative_audio.WAV,801.1,13:20.10,y,
positive_negative_audio\positive_negative_audio.WAV,804.3,13:23.30,y,
positive_negative_audio\positive_negative_audio.WAV,807.6,13:26.60,y,
positive_negative_audio\positive_negative_audio.WAV,810.4,13:29.40,y,
positive_negative_audio\positive_negative_audio.WAV,813.4,13:32.40,y,
positive_negative_audio\positive_negative_audio.WAV,816.8,13:35.80,y,
positive_negative_audio\positive_negative_audio.WAV,819.7,13:38.70,y,
positive_negative_audio\positive_negative_audio.WAV,822.6,13:41.60,y,
positive_negative_audio\positive_negative_audio.WAV,825.5,13:44.50,y,
