clip_path,gesture_label,person_id,take_number,source,keypoint_path,frame_count,split
data/raw_clips\ball_out\ball_out_p06_20.mp4,ball_out,p06,20,volunteer,data/keypoints\ball_out\ball_out_p06_20.npy,67,train
data/raw_clips\ball_out\ball_out_p06_3.mp4,ball_out,p06,3,volunteer,data/keypoints\ball_out\ball_out_p06_3.npy,75,train
data/raw_clips\ball_out\ball_out_p06_4.mp4,ball_out,p06,4,volunteer,data/keypoints\ball_out\ball_out_p06_4.npy,70,train
data/raw_clips\ball_out\ball_out_p06_5.mp4,ball_out,p06,5,volunteer,data/keypoints\ball_out\ball_out_p06_5.npy,68,train
data/raw_clips\ball_out\ball_out_p06_6.mp4,ball_out,p06,6,volunteer,data/keypoints\ball_out\ball_out_p06_6.npy,74,train
data/raw_clips\ball_out\ball_out_p06_7.mp4,ball_out,p06,7,volunteer,data/keypoints\ball_out\ball_out_p06_7.npy,75,train
data/raw_clips\ball_out\ball_out_p06_8.mp4,ball_out,p06,8,volunteer,data/keypoints\ball_out\ball_out_p06_8.npy,68,train
data/raw_clips\ball_out\ball_out_p06_9.mp4,ball_out,p06,9,volunteer,data/keypoints\ball_out\ball_out_p06_9.npy,69,train
data/raw_clips\ball_out\ball_out_p07_10.mp4,ball_out,p07,10,volunteer,data/keypoints\ball_out\ball_out_p07_10.npy,54,train
data/raw_clips\ball_out\ball_out_p07_11.mp4,ball_out,p07,11,volunteer,data/keypoints\ball_out\ball_out_p07_11.npy,58,train
data/raw_clips\ball_out\ball_out_p07_12.mp4,ball_out,p07,12,volunteer,data/keypoints\ball_out\ball_out_p07_12.npy,65,train
data/raw_clips\ball_out\ball_out_p07_13.mp4,ball_out,p07,13,volunteer,data/keypoints\ball_out\ball_out_p07_13.npy,57,train
data/raw_clips\ball_out\ball_out_p07_14.mp4,ball_out,p07,14,volunteer,data/keypoints\ball_out\ball_out_p07_14.npy,61,train
data/raw_clips\ball_out\ball_out_p07_15.mp4,ball_out,p07,15,volunteer,data/keypoints\ball_out\ball_out_p07_15.npy,57,train
data/raw_clips\ball_out\ball_out_p07_16.mp4,ball_out,p07,16,volunteer,data/keypoints\ball_out\ball_out_p07_16.npy,63,train
data/raw_clips\ball_out\ball_out_p07_17.mp4,ball_out,p07,17,volunteer,data/keypoints\ball_out\ball_out_p07_17.npy,58,train
data/raw_clips\ball_out\ball_out_p07_18.mp4,ball_out,p07,18,volunteer,data/keypoints\ball_out\ball_out_p07_18.npy,63,train
data/raw_clips\ball_out\ball_out_p07_19.mp4,ball_out,p07,19,volunteer,data/keypoints\ball_out\ball_out_p07_19.npy,65,train
data/raw_clips\ball_out\ball_out_p07_2.mp4,ball_out,p07,2,volunteer,data/keypoints\ball_out\ball_out_p07_2.npy,61,train
data/raw_clips\ball_out\ball_out_p07_20.mp4,ball_out,p07,20,volunteer,data/keypoints\ball_out\ball_out_p07_20.npy,67,train
data/raw_clips\ball_out\ball_out_p07_21.mp4,ball_out,p07,21,volunteer,data/keypoints\ball_out\ball_out_p07_21.npy,62,train
data/raw_clips\ball_out\ball_out_p07_22.mp4,ball_out,p07,22,volunteer,data/keypoints\ball_out\ball_out_p07_22.npy,56,train
data/raw_clips\ball_out\ball_out_p07_23.mp4,ball_out,p07,23,volunteer,data/keypoints\ball_out\ball_out_p07_23.npy,57,train
data/raw_clips\ball_out\ball_out_p07_3.mp4,ball_out,p07,3,volunteer,data/keypoints\ball_out\ball_out_p07_3.npy,51,train
data/raw_clips\ball_out\ball_out_p07_5.mp4,ball_out,p07,5,volunteer,data/keypoints\ball_out\ball_out_p07_5.npy,56,train
data/raw_clips\ball_out\ball_out_p07_6.mp4,ball_out,p07,6,volunteer,data/keypoints\ball_out\ball_out_p07_6.npy,55,train
data/raw_clips\ball_out\ball_out_p07_7.mp4,ball_out,p07,7,volunteer,data/keypoints\ball_out\ball_out_p07_7.npy,58,train
data/raw_clips\ball_out\ball_out_p07_8.mp4,ball_out,p07,8,volunteer,data/keypoints\ball_out\ball_out_p07_8.npy,56,train
data/raw_clips\ball_out\ball_out_p07_9.mp4,ball_out,p07,9,volunteer,data/keypoints\ball_out\ball_out_p07_9.npy,53,train
data/raw_clips\ball_out\ball_out_p08_1.mp4,ball_out,p08,1,volunteer,data/keypoints\ball_out\ball_out_p08_1.npy,90,test
data/raw_clips\ball_out\ball_out_p08_10.mp4,ball_out,p08,10,volunteer,data/keypoints\ball_out\ball_out_p08_10.npy,95,test
data/raw_clips\ball_out\ball_out_p08_100.mp4,ball_out,p08,100,volunteer,data/keypoints\ball_out\ball_out_p08_100.npy,99,test
data/raw_clips\ball_out\ball_out_p08_11.mp4,ball_out,p08,11,volunteer,data/keypoints\ball_out\ball_out_p08_11.npy,92,test
data/raw_clips\ball_out\ball_out_p08_12.mp4,ball_out,p08,12,volunteer,data/keypoints\ball_out\ball_out_p08_12.npy,90,test
data/raw_clips\ball_out\ball_out_p08_13.mp4,ball_out,p08,13,volunteer,data/keypoints\ball_out\ball_out_p08_13.npy,101,test
data/raw_clips\ball_out\ball_out_p08_14.mp4,ball_out,p08,14,volunteer,data/keypoints\ball_out\ball_out_p08_14.npy,93,test
data/raw_clips\ball_out\ball_out_p08_15.mp4,ball_out,p08,15,volunteer,data/keypoints\ball_out\ball_out_p08_15.npy,95,test
data/raw_clips\ball_out\ball_out_p08_16.mp4,ball_out,p08,16,volunteer,data/keypoints\ball_out\ball_out_p08_16.npy,96,test
data/raw_clips\ball_out\ball_out_p08_17.mp4,ball_out,p08,17,volunteer,data/keypoints\ball_out\ball_out_p08_17.npy,110,test
data/raw_clips\ball_out\ball_out_p08_18.mp4,ball_out,p08,18,volunteer,data/keypoints\ball_out\ball_out_p08_18.npy,96,test
data/raw_clips\ball_out\ball_out_p08_19.mp4,ball_out,p08,19,volunteer,data/keypoints\ball_out\ball_out_p08_19.npy,98,test
data/raw_clips\ball_out\ball_out_p08_2.mp4,ball_out,p08,2,volunteer,data/keypoints\ball_out\ball_out_p08_2.npy,90,test
data/raw_clips\ball_out\ball_out_p08_20.mp4,ball_out,p08,20,volunteer,data/keypoints\ball_out\ball_out_p08_20.npy,101,test
data/raw_clips\ball_out\ball_out_p08_21.mp4,ball_out,p08,21,volunteer,data/keypoints\ball_out\ball_out_p08_21.npy,96,test
data/raw_clips\ball_out\ball_out_p08_22.mp4,ball_out,p08,22,volunteer,data/keypoints\ball_out\ball_out_p08_22.npy,102,test
data/raw_clips\ball_out\ball_out_p08_23.mp4,ball_out,p08,23,volunteer,data/keypoints\ball_out\ball_out_p08_23.npy,103,test
data/raw_clips\ball_out\ball_out_p08_24.mp4,ball_out,p08,24,volunteer,data/keypoints\ball_out\ball_out_p08_24.npy,98,test
data/raw_clips\ball_out\ball_out_p08_25.mp4,ball_out,p08,25,volunteer,data/keypoints\ball_out\ball_out_p08_25.npy,108,test
data/raw_clips\ball_out\ball_out_p08_26.mp4,ball_out,p08,26,volunteer,data/keypoints\ball_out\ball_out_p08_26.npy,108,test
data/raw_clips\ball_out\ball_out_p08_27.mp4,ball_out,p08,27,volunteer,data/keypoints\ball_out\ball_out_p08_27.npy,123,test
data/raw_clips\ball_out\ball_out_p08_28.mp4,ball_out,p08,28,volunteer,data/keypoints\ball_out\ball_out_p08_28.npy,107,test
data/raw_clips\ball_out\ball_out_p08_29.mp4,ball_out,p08,29,volunteer,data/keypoints\ball_out\ball_out_p08_29.npy,95,test
data/raw_clips\ball_out\ball_out_p08_3.mp4,ball_out,p08,3,volunteer,data/keypoints\ball_out\ball_out_p08_3.npy,85,test
data/raw_clips\ball_out\ball_out_p08_30.mp4,ball_out,p08,30,volunteer,data/keypoints\ball_out\ball_out_p08_30.npy,108,test
data/raw_clips\ball_out\ball_out_p08_31.mp4,ball_out,p08,31,volunteer,data/keypoints\ball_out\ball_out_p08_31.npy,105,test
data/raw_clips\ball_out\ball_out_p08_32.mp4,ball_out,p08,32,volunteer,data/keypoints\ball_out\ball_out_p08_32.npy,105,test
data/raw_clips\ball_out\ball_out_p08_33.mp4,ball_out,p08,33,volunteer,data/keypoints\ball_out\ball_out_p08_33.npy,105,test
data/raw_clips\ball_out\ball_out_p08_34.mp4,ball_out,p08,34,volunteer,data/keypoints\ball_out\ball_out_p08_34.npy,105,test
data/raw_clips\ball_out\ball_out_p08_35.mp4,ball_out,p08,35,volunteer,data/keypoints\ball_out\ball_out_p08_35.npy,89,test
data/raw_clips\ball_out\ball_out_p08_36.mp4,ball_out,p08,36,volunteer,data/keypoints\ball_out\ball_out_p08_36.npy,117,test
data/raw_clips\ball_out\ball_out_p08_37.mp4,ball_out,p08,37,volunteer,data/keypoints\ball_out\ball_out_p08_37.npy,116,test
data/raw_clips\ball_out\ball_out_p08_38.mp4,ball_out,p08,38,volunteer,data/keypoints\ball_out\ball_out_p08_38.npy,114,test
data/raw_clips\ball_out\ball_out_p08_39.mp4,ball_out,p08,39,volunteer,data/keypoints\ball_out\ball_out_p08_39.npy,108,test
data/raw_clips\ball_out\ball_out_p08_4.mp4,ball_out,p08,4,volunteer,data/keypoints\ball_out\ball_out_p08_4.npy,87,test
data/raw_clips\ball_out\ball_out_p08_40.mp4,ball_out,p08,40,volunteer,data/keypoints\ball_out\ball_out_p08_40.npy,109,test
data/raw_clips\ball_out\ball_out_p08_41.mp4,ball_out,p08,41,volunteer,data/keypoints\ball_out\ball_out_p08_41.npy,98,test
data/raw_clips\ball_out\ball_out_p08_42.mp4,ball_out,p08,42,volunteer,data/keypoints\ball_out\ball_out_p08_42.npy,96,test
data/raw_clips\ball_out\ball_out_p08_43.mp4,ball_out,p08,43,volunteer,data/keypoints\ball_out\ball_out_p08_43.npy,1,test
data/raw_clips\ball_out\ball_out_p08_44.mp4,ball_out,p08,44,volunteer,data/keypoints\ball_out\ball_out_p08_44.npy,91,test
data/raw_clips\ball_out\ball_out_p08_45.mp4,ball_out,p08,45,volunteer,data/keypoints\ball_out\ball_out_p08_45.npy,96,test
data/raw_clips\ball_out\ball_out_p08_46.mp4,ball_out,p08,46,volunteer,data/keypoints\ball_out\ball_out_p08_46.npy,81,test
data/raw_clips\ball_out\ball_out_p08_47.mp4,ball_out,p08,47,volunteer,data/keypoints\ball_out\ball_out_p08_47.npy,93,test
data/raw_clips\ball_out\ball_out_p08_48.mp4,ball_out,p08,48,volunteer,data/keypoints\ball_out\ball_out_p08_48.npy,88,test
data/raw_clips\ball_out\ball_out_p08_49.mp4,ball_out,p08,49,volunteer,data/keypoints\ball_out\ball_out_p08_49.npy,87,test
data/raw_clips\ball_out\ball_out_p08_5.mp4,ball_out,p08,5,volunteer,data/keypoints\ball_out\ball_out_p08_5.npy,110,test
data/raw_clips\ball_out\ball_out_p08_50.mp4,ball_out,p08,50,volunteer,data/keypoints\ball_out\ball_out_p08_50.npy,93,test
data/raw_clips\ball_out\ball_out_p08_51.mp4,ball_out,p08,51,volunteer,data/keypoints\ball_out\ball_out_p08_51.npy,96,test
data/raw_clips\ball_out\ball_out_p08_52.mp4,ball_out,p08,52,volunteer,data/keypoints\ball_out\ball_out_p08_52.npy,97,test
data/raw_clips\ball_out\ball_out_p08_53.mp4,ball_out,p08,53,volunteer,data/keypoints\ball_out\ball_out_p08_53.npy,78,test
data/raw_clips\ball_out\ball_out_p08_54.mp4,ball_out,p08,54,volunteer,data/keypoints\ball_out\ball_out_p08_54.npy,84,test
data/raw_clips\ball_out\ball_out_p08_55.mp4,ball_out,p08,55,volunteer,data/keypoints\ball_out\ball_out_p08_55.npy,93,test
data/raw_clips\ball_out\ball_out_p08_56.mp4,ball_out,p08,56,volunteer,data/keypoints\ball_out\ball_out_p08_56.npy,87,test
data/raw_clips\ball_out\ball_out_p08_57.mp4,ball_out,p08,57,volunteer,data/keypoints\ball_out\ball_out_p08_57.npy,89,test
data/raw_clips\ball_out\ball_out_p08_58.mp4,ball_out,p08,58,volunteer,data/keypoints\ball_out\ball_out_p08_58.npy,84,test
data/raw_clips\ball_out\ball_out_p08_59.mp4,ball_out,p08,59,volunteer,data/keypoints\ball_out\ball_out_p08_59.npy,102,test
data/raw_clips\ball_out\ball_out_p08_6.mp4,ball_out,p08,6,volunteer,data/keypoints\ball_out\ball_out_p08_6.npy,87,test
data/raw_clips\ball_out\ball_out_p08_60.mp4,ball_out,p08,60,volunteer,data/keypoints\ball_out\ball_out_p08_60.npy,84,test
data/raw_clips\ball_out\ball_out_p08_61.mp4,ball_out,p08,61,volunteer,data/keypoints\ball_out\ball_out_p08_61.npy,105,test
data/raw_clips\ball_out\ball_out_p08_62.mp4,ball_out,p08,62,volunteer,data/keypoints\ball_out\ball_out_p08_62.npy,99,test
data/raw_clips\ball_out\ball_out_p08_63.mp4,ball_out,p08,63,volunteer,data/keypoints\ball_out\ball_out_p08_63.npy,100,test
data/raw_clips\ball_out\ball_out_p08_64.mp4,ball_out,p08,64,volunteer,data/keypoints\ball_out\ball_out_p08_64.npy,102,test
data/raw_clips\ball_out\ball_out_p08_65.mp4,ball_out,p08,65,volunteer,data/keypoints\ball_out\ball_out_p08_65.npy,94,test
data/raw_clips\ball_out\ball_out_p08_66.mp4,ball_out,p08,66,volunteer,data/keypoints\ball_out\ball_out_p08_66.npy,96,test
data/raw_clips\ball_out\ball_out_p08_67.mp4,ball_out,p08,67,volunteer,data/keypoints\ball_out\ball_out_p08_67.npy,96,test
data/raw_clips\ball_out\ball_out_p08_68.mp4,ball_out,p08,68,volunteer,data/keypoints\ball_out\ball_out_p08_68.npy,89,test
data/raw_clips\ball_out\ball_out_p08_69.mp4,ball_out,p08,69,volunteer,data/keypoints\ball_out\ball_out_p08_69.npy,91,test
data/raw_clips\ball_out\ball_out_p08_7.mp4,ball_out,p08,7,volunteer,data/keypoints\ball_out\ball_out_p08_7.npy,97,test
data/raw_clips\ball_out\ball_out_p08_70.mp4,ball_out,p08,70,volunteer,data/keypoints\ball_out\ball_out_p08_70.npy,94,test
data/raw_clips\ball_out\ball_out_p08_71.mp4,ball_out,p08,71,volunteer,data/keypoints\ball_out\ball_out_p08_71.npy,90,test
data/raw_clips\ball_out\ball_out_p08_72.mp4,ball_out,p08,72,volunteer,data/keypoints\ball_out\ball_out_p08_72.npy,88,test
data/raw_clips\ball_out\ball_out_p08_73.mp4,ball_out,p08,73,volunteer,data/keypoints\ball_out\ball_out_p08_73.npy,93,test
data/raw_clips\ball_out\ball_out_p08_74.mp4,ball_out,p08,74,volunteer,data/keypoints\ball_out\ball_out_p08_74.npy,99,test
data/raw_clips\ball_out\ball_out_p08_75.mp4,ball_out,p08,75,volunteer,data/keypoints\ball_out\ball_out_p08_75.npy,99,test
data/raw_clips\ball_out\ball_out_p08_76.mp4,ball_out,p08,76,volunteer,data/keypoints\ball_out\ball_out_p08_76.npy,94,test
data/raw_clips\ball_out\ball_out_p08_77.mp4,ball_out,p08,77,volunteer,data/keypoints\ball_out\ball_out_p08_77.npy,97,test
data/raw_clips\ball_out\ball_out_p08_78.mp4,ball_out,p08,78,volunteer,data/keypoints\ball_out\ball_out_p08_78.npy,99,test
data/raw_clips\ball_out\ball_out_p08_79.mp4,ball_out,p08,79,volunteer,data/keypoints\ball_out\ball_out_p08_79.npy,108,test
data/raw_clips\ball_out\ball_out_p08_8.mp4,ball_out,p08,8,volunteer,data/keypoints\ball_out\ball_out_p08_8.npy,96,test
data/raw_clips\ball_out\ball_out_p08_80.mp4,ball_out,p08,80,volunteer,data/keypoints\ball_out\ball_out_p08_80.npy,90,test
data/raw_clips\ball_out\ball_out_p08_81.mp4,ball_out,p08,81,volunteer,data/keypoints\ball_out\ball_out_p08_81.npy,83,test
data/raw_clips\ball_out\ball_out_p08_82.mp4,ball_out,p08,82,volunteer,data/keypoints\ball_out\ball_out_p08_82.npy,81,test
data/raw_clips\ball_out\ball_out_p08_83.mp4,ball_out,p08,83,volunteer,data/keypoints\ball_out\ball_out_p08_83.npy,91,test
data/raw_clips\ball_out\ball_out_p08_84.mp4,ball_out,p08,84,volunteer,data/keypoints\ball_out\ball_out_p08_84.npy,88,test
data/raw_clips\ball_out\ball_out_p08_85.mp4,ball_out,p08,85,volunteer,data/keypoints\ball_out\ball_out_p08_85.npy,81,test
